"Park ID","Park Name","Address","Location Description","Park Category","Linear Park System","District","Classification Type","Neighbourhood","Electoral Ward","CCA","Water Area in Hectares","Land Area in Hectares","Polygon","Total Area in Hectares"
"6945","Inez Cross Park",,"80 Inez Cross","Greenfield - Future Park",,"South","Greenfield - Future Park: Linkage","WAVERLEY WEST B","Waverley West","Fort Garry","1.43857","1.2925","MULTIPOLYGON (((-97.1773722622205 49.79775741717433, -97.17740567647907 49.79777516508381, -97.17744068730566 49.79779093257534, -97.17822413141205 49.79810939661507, -97.17770070737161 49.79852838882724, -97.17919011350331 49.79801831448895, -97.1786741170718 49.797273564547794, -97.17849907702528 49.797059168724104, -97.17851644041572 49.797022689657744, -97.17890937261637 49.79688802741302, -97.17878904131882 49.79674042569254, -97.17839343043033 49.79629387805757, -97.17834565957408 49.796235400134094, -97.17795373529007 49.79637550686792, -97.17789776885644 49.79636469778048, -97.1778464201188 49.796301832096475, -97.17776095007434 49.79622998411446, -97.17728324262126 49.79590851224762, -97.17713241859954 49.795801607926364, -97.17699035805144 49.79568979060883, -97.17694770919482 49.795652433700624, -97.17685744215675 49.79557335927866, -97.17673402540211 49.79545262649868, -97.17666004331335 49.79547791279923, -97.1767892097669 49.79560428338412, -97.17692467067029 49.79572295767642, -97.17706946042539 49.79583693776835, -97.17716968049949 49.79590798551123, -97.17725580776984 49.795988390067784, -97.1773267384185 49.79610160939924, -97.17735084907292 49.79622279858664, -97.17732654775543 49.79634398569881, -97.177255436978 49.79645718846541, -97.17714726381494 49.796551546254975, -97.17700783151645 49.79662705008914, -97.17623618581557 49.79689036469922, -97.17610393263506 49.79692678384589, -97.17597861133045 49.79695285854903, -97.17585013495275 49.79697143756122, -97.17568154732422 49.79698555205866, -97.17512406817129 49.79698586387872, -97.17512422340705 49.79706678603891, -97.17655637043299 49.797066232738494, -97.17672950123428 49.79700715254106, -97.17678002351207 49.79703094236263, -97.17682735443302 49.79705606021437, -97.17687353939326 49.797083616019385, -97.17691715494058 49.797112884729536, -97.17695866213143 49.79714425277006, -97.17699600181143 49.797176072699955, -97.177029466297 49.79720823183027, -97.17706153843326 49.79724322916207, -97.17709062433067 49.79727970498674, -97.17711519754597 49.797315433435614, -97.17713741320563 49.79735349241407, -97.17715529053318 49.79739037999124, -97.17716942276441 49.797426307139816, -97.1771803746371 49.797461895589514, -97.17718789076544 49.797494893567325, -97.17719524843909 49.797540975587566, -97.17720131757368 49.79756463437231, -97.17721223962765 49.797593408672284, -97.17722790565401 49.79762320927799, -97.1772407983777 49.797642773742616, -97.17725526562963 49.797661515610415, -97.1772716521321 49.7976798919947, -97.17728860450624 49.79769655871951, -97.17730740379554 49.797712909224344, -97.17732725187422 49.79772824339702, -97.17734885826965 49.79774310584002, -97.1773722622205 49.79775741717433)))","2.73107"
"6941","Joe Keeper Way - Frontier Trail Greenspace",,"Corner of Joe Keeper Wy & Frontier Trail","Greenfield - Future Park",,"South","Greenfield - Future Park: Linkage","WAVERLEY WEST B","Waverley West","Fort Garry","0","0.04071","MULTIPOLYGON (((-97.17969748286062 49.79585619340325, -97.17971447514216 49.795867834819624, -97.17973149629357 49.79587799208255, -97.17975083004252 49.79588802457837, -97.17977003955826 49.79589664849311, -97.17979097517704 49.795904727821025, -97.17981163422633 49.79591150629499, -97.1798331354598 49.79591742566259, -97.17985598507416 49.79592255216757, -97.17987999873522 49.79592673713076, -97.17990311692989 49.79592966549875, -97.17992712354446 49.79593160974295, -97.17995209995178 49.79593247705265, -97.17997477487786 49.79593225547466, -97.17999836143844 49.795931003100215, -97.18002310034325 49.79592855044369, -97.18004638758545 49.79592514134498, -97.17999154580376 49.79570242728187, -97.17995471900956 49.79571504114131, -97.17993523397901 49.795691202214485, -97.17969633228118 49.795855342330015, -97.17969748286062 49.79585619340325)))","0.04071"
"4013","Bonavista Rail Line Buffer South",,"W (behind) 158 Whitehorn Cres","Greenfield - Future Park",,"East","Greenfield - Future Park: Buffer","FRAIPONT","St. Vital","St. Boniface","0","0.154947","MULTIPOLYGON (((-97.06558470092219 49.820491444867976, -97.06576829161573 49.8204142400165, -97.0653437644718 49.81958481857604, -97.06512072438996 49.819584938633575, -97.06558470092219 49.820491444867976)))","0.154947"
"6944","Yasmin Ali Crescent Walk South",,"Between 38 and 46 Yasmin Ali Cres","Greenfield - Future Park",,"South","Greenfield - Future Park: Linkage","WAVERLEY WEST B","Waverley West","Fort Garry","0","0.02096","MULTIPOLYGON (((-97.17654054560046 49.795335802671566, -97.17661415080084 49.795310643322836, -97.176387413117 49.7950324000532, -97.17631381951941 49.7950575570168, -97.17654054560046 49.795335802671566)))","0.02096"
"249","Alexander Ross Athletic Fields",,"W side of Stradford St, N of Capulet Cres","Park and Open Space",,"North","Neighbourhood","BUCHANAN","St. James","St. James - Assiniboia","0","1.313118","MULTIPOLYGON (((-97.32145172253314 49.89417342077514, -97.31944284062924 49.89408811961126, -97.31936079116807 49.89490681994428, -97.3213710465361 49.89498409185668, -97.32145172253314 49.89417342077514)))","1.313118"
"198","Luigi D'Ottavio Park",,"371 Kensington St","Park and Open Space",,"North","Neighbourhood","KENSINGTON","St. James","St. James - Assiniboia","0","0.037091","MULTIPOLYGON (((-97.20455163067265 49.88600520995928, -97.20497495968104 49.88602157518473, -97.20498481052945 49.88591232214484, -97.20456146874668 49.88589591892362, -97.20455163067265 49.88600520995928)))","0.037091"
"206","Bord-Aire C.C",,"471 Hampton St","Park and Open Space",,"North","Community","KING EDWARD","St. James","St. James - Assiniboia","0","1.063361","MULTIPOLYGON (((-97.21057249569337 49.889164922126575, -97.21048548203485 49.89012214010645, -97.21167526480485 49.890165839286595, -97.21176569817514 49.890170285776186, -97.21186432567043 49.8891329917437, -97.21176967028595 49.88912930148928, -97.21057926566509 49.88909044483506, -97.21057249569337 49.889164922126575)))","1.063361"
"191","David Johnston Memorial Park",,"324 Brooklyn St","Park and Open Space",,"North","Neighbourhood","KING EDWARD","St. James","St. James - Assiniboia","0","0.011143","MULTIPOLYGON (((-97.21010956446332 49.884001555982024, -97.21011570004343 49.883933150390064, -97.20991249375308 49.88392578479113, -97.20990636915074 49.88399418694523, -97.21010956446332 49.884001555982024)))","0.011143"
"199","Jae Eadie Park",,"125 Parkside Dr","Park and Open Space",,"North","Neighbourhood","BRUCE PARK","St. James","St. James - Assiniboia","0","0.611459","MULTIPOLYGON (((-97.20813157892628 49.877670168402034, -97.20814641741327 49.87768011843565, -97.20815864492455 49.87769145487814, -97.20816795607544 49.877703894601254, -97.208174118317 49.87771712692213, -97.20822768512716 49.87769139893289, -97.20883566784808 49.87737298514299, -97.20887376854587 49.87731769615863, -97.20929562724601 49.87675415434037, -97.20969762015275 49.87676950965982, -97.20969939073252 49.8767216249998, -97.20966990095567 49.87671243130198, -97.20964202882442 49.876701328340374, -97.2096160693094 49.87668843361796, -97.20959229713927 49.87667388360008, -97.20957669305551 49.87666151623364, -97.20956403430154 49.876647815277686, -97.20955458938988 49.876633071354355, -97.20954505494092 49.87661002424038, -97.20854326780982 49.87657203132859, -97.20847182332645 49.8766366768429, -97.20834608761872 49.876713169658444, -97.20832119824723 49.87672375881666, -97.20826969497028 49.876757683340685, -97.20824185225746 49.876761570538974, -97.20821293001137 49.87678334106652, -97.20819776110064 49.87681710762768, -97.2081819371326 49.87682720724515, -97.20812292429277 49.8768459040379, -97.20810309603792 49.876855132192574, -97.20806912506536 49.87686288240439, -97.2079654972636 49.87690936840272, -97.20860734681877 49.87742204225089, -97.20818321793459 49.87764418857408, -97.20813157892628 49.877670168402034)))","0.611459"
"201","Riverbend Buffer",,"S side Portage Ave at Riverbend Cres","Park and Open Space","North Assiniboine Parkway","North","Fragment","BRUCE PARK","St. James","St. James - Assiniboia","0","0.063042","MULTIPOLYGON (((-97.20593057552786 49.8792322156294, -97.20592618349656 49.879216836182984, -97.20591714029523 49.87920232987548, -97.2059038081271 49.87918927771502, -97.20588672097648 49.879178202467685, -97.20586656322102 49.879169547719904, -97.20584414222103 49.8791636601116, -97.20582035598308 49.879160775453435, -97.2057961571936 49.87916100928157, -97.20543942054691 49.879225538312916, -97.20539491811179 49.879230128604824, -97.20534994313584 49.8792319765415, -97.20530489939348 49.879231065532544, -97.20526019127641 49.879227403756865, -97.20521622016307 49.879221024089155, -97.20517338081481 49.879211983804566, -97.20513205783173 49.87920036406452, -97.20512025878301 49.87933020934596, -97.205309844753 49.87934573658161, -97.20593057552786 49.8792322156294)))","0.063042"
